Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
ACD010A,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,
ACD010B,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,
ACD010C,What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,
ACD040,Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home?,ACQ_D,Acculturation,2005,2006,Questionnaire,
SEQN,Respondent sequence number.,ACQ_D,Acculturation,2005,2006,Questionnaire,
ALQ101,"The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",ALQ_D,Alcohol Use,2005,2006,Questionnaire,
ALQ110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,
ALQ120Q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,
ALQ120U,UNIT OF MEASURE.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,
ALQ130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,
ALQ140Q,"In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have 5 or more drinks in a single day?",ALQ_D,Alcohol Use,2005,2006,Questionnaire,
ALQ140U,UNIT OF MEASURE.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,
ALQ150,Was there ever a time or times in {your/SP's} life when {you/he/she} drank 5 or more drinks of any kind of alcoholic beverage almost every day?,ALQ_D,Alcohol Use,2005,2006,Questionnaire,
SEQN,Respondent sequence number.,ALQ_D,Alcohol Use,2005,2006,Questionnaire,
ALQ101,"The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",ALQ_E,Alcohol Use,2007,2008,Questionnaire,
ALQ110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,
ALQ120Q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,
ALQ120U,UNIT OF MEASURE.,ALQ_E,Alcohol Use,2007,2008,Questionnaire,
ALQ130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,
ALQ140Q,"In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have 5 or more drinks in a single day?",ALQ_E,Alcohol Use,2007,2008,Questionnaire,
ALQ140U,UNIT OF MEASURE.,ALQ_E,Alcohol Use,2007,2008,Questionnaire,
ALQ150,Was there ever a time or times in {your/SP's} life when {you/he/she} drank 5 or more drinks of any kind of alcoholic beverage almost every day?,ALQ_E,Alcohol Use,2007,2008,Questionnaire,
SEQN,Respondent sequence number.,ALQ_E,Alcohol Use,2007,2008,Questionnaire,
AGD020,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had hay fever?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGD050,How old {were you/was SP} when {you were/s/he was} first told {you/he/she} had allergies?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGD170,At what age did this itchy rash first occur?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ010,Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} hay fever?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ030,"During the past 12 months, {have you/has SP} had an episode of hay fever?",AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ040,Has a doctor or other health professional ever told {you/SP} that {you have/SP s/he has} allergies?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ060,"During the past 12 months, {have you/has SP} had any allergy symptoms or an allergy attack?",AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ070,"In the last 12 months, {have you/has SP} removed a dog, cat or other small furry animal from {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?",AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ080A,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ080B,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ080C,Which kind of pet was removed from {your/SP's} home?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ090,{Have you/Has SP} avoided bringing new pets into {your/his/her} home because {you/SP} had allergies or asthma (az-ma)?,AGQ_D,Allergy,2005,2006,Questionnaire,
AGQ100,"During the past 12 months, {have you/has SP} had a problem with sneezing, or a runny, or blocked nose when {you/s/he} did not have a cold or the flu?",AGQ_D,Allergy,2005,2006,Questionnaire,
